,Id,SalePrice
0,1461,121310.08
1,1462,139078.38
2,1463,175184.92
3,1464,198419.05
4,1465,199085.55
5,1466,178438.02
6,1467,177764.7
7,1468,170458.81
8,1469,178916.47
9,1470,123506.734
10,1471,207692.16
11,1472,94592.45
12,1473,90527.266
13,1474,165547.48
14,1475,140612.3
15,1476,386941.78
16,1477,246179.55
17,1478,304946.7
18,1479,251401.98
19,1480,488807.8
20,1481,347265.16
21,1482,204166.78
22,1483,164793.84
23,1484,170947.89
24,1485,161397.56
25,1486,199879.6
26,1487,348458.06
27,1488,214782.22
28,1489,215870.52
29,1490,223151.02
30,1491,189223.52
31,1492,98092.74
32,1493,184850.3
33,1494,296998.12
34,1495,295530.1
35,1496,215820.14
36,1497,181293.14
37,1498,162074.56
38,1499,160364.53
39,1500,170977.44
40,1501,192662.69
41,1502,150108.08
42,1503,297636.94
43,1504,248749.89
44,1505,211690.97
45,1506,183239.36
46,1507,239926.86
47,1508,195986.61
48,1509,162297.4
49,1510,139172.4
50,1511,138504.2
51,1512,168178.64
52,1513,143132.14
53,1514,178215.55
54,1515,211025.52
55,1516,160086.52
56,1517,159528.67
57,1518,130219.55
58,1519,207876.52
59,1520,138101.28
60,1521,136917.77
61,1522,167615.31
62,1523,112911.086
63,1524,114936.98
64,1525,122642.35
65,1526,123396.79
66,1527,95493.54
67,1528,134253.36
68,1529,139864.81
69,1530,182424.33
70,1531,116293.36
71,1532,108566.234
72,1533,157032.97
73,1534,125421.11
74,1535,160423.89
75,1536,116066.66
76,1537,67353.64
77,1538,183987.45
78,1539,203515.06
79,1540,90354.805
80,1541,150748.95
81,1542,144741.05
82,1543,229083.69
83,1544,72835.09
84,1545,103255.37
85,1546,132815.73
86,1547,151897.34
87,1548,140284.89
88,1549,105589.9
89,1550,138384.42
90,1551,119521.375
91,1552,137443.98
92,1553,142572.36
93,1554,108181.8
94,1555,169964.44
95,1556,100642.87
96,1557,106426.68
97,1558,88649.43
98,1559,99861.92
99,1560,165986.72
100,1561,136752.77
101,1562,134654.88
102,1563,127451.3
103,1564,152049.45
104,1565,162564.67
105,1566,227421.39
106,1567,69419.52
107,1568,238960.88
108,1569,144200.2
109,1570,127822.734
110,1571,121117.305
111,1572,147086.92
112,1573,262167.7
113,1574,125552.34
114,1575,226907.42
115,1576,253211.34
116,1577,201707.55
117,1578,136856.94
118,1579,146683.0
119,1580,196589.45
120,1581,153011.73
121,1582,126511.64
122,1583,353179.8
123,1584,249114.2
124,1585,138789.62
125,1586,71465.06
126,1587,95660.83
127,1588,145309.81
128,1589,97936.414
129,1590,146800.38
130,1591,108348.14
131,1592,128358.805
132,1593,127041.484
133,1594,113098.414
134,1595,114501.34
135,1596,237713.34
136,1597,169375.52
137,1598,167004.14
138,1599,222121.06
139,1600,203519.97
140,1601,79134.43
141,1602,108702.04
142,1603,92261.16
143,1604,281443.38
144,1605,247679.5
145,1606,171355.62
146,1607,175234.5
147,1608,208011.86
148,1609,195799.73
149,1610,160553.39
150,1611,144344.84
151,1612,163058.7
152,1613,159987.86
153,1614,148838.97
154,1615,89039.34
155,1616,79044.65
156,1617,92161.29
157,1618,124338.164
158,1619,140595.5
159,1620,145695.11
160,1621,126797.72
161,1622,155147.97
162,1623,318908.22
163,1624,221365.78
164,1625,123973.1
165,1626,163855.62
166,1627,188717.4
167,1628,304023.28
168,1629,185603.02
169,1630,335777.66
170,1631,215574.78
171,1632,248835.19
172,1633,171979.33
173,1634,188809.14
174,1635,181306.89
175,1636,168070.28
176,1637,165573.19
177,1638,217986.66
178,1639,167567.4
179,1640,259617.94
180,1641,178962.95
181,1642,230829.92
182,1643,231353.47
183,1644,242984.05
184,1645,204675.53
185,1646,177024.6
186,1647,176622.62
187,1648,131337.83
188,1649,147953.12
189,1650,115540.234
190,1651,128553.266
191,1652,94785.62
192,1653,102260.18
193,1654,154811.19
194,1655,164370.39
195,1656,155902.95
196,1657,157681.95
197,1658,156979.45
198,1659,150349.19
199,1660,151531.28
200,1661,503198.78
201,1662,422367.1
202,1663,349196.66
203,1664,451238.03
204,1665,311565.38
205,1666,344953.72
206,1667,395968.6
207,1668,325929.78
